INFO:m = 2.05016, b = 0.32339999999999997, mse = 1343.0, prev_mse = inf, mse_inc = False, iteration 0
INFO:m = 3.4180672064, b = 0.5471911535999999, mse = 609.88303235232, prev_mse = 1343.0, mse_inc = False, iteration 1
INFO:m = 4.330384988260352, b = 0.704442798905664, mse = 282.9023995775484, prev_mse = 609.88303235232, mse_inc = False, iteration 2
INFO:m = 4.938473939219442, b = 0.8172379496286215, mse = 137.02899131260938, prev_mse = 282.9023995775484, mse_inc = False, iteration 3
INFO:m = 5.343409185204474, b = 0.9003232036213785, mse = 71.91642182388411, prev_mse = 137.02899131260938, mse_inc = False, iteration 4
INFO:m = 5.612686369207997, b = 0.9635460681538706, mse = 42.81760311240915, prev_mse = 71.91642182388411, mse_inc = False, iteration 5
INFO:m = 5.791377525076525, b = 1.0134825498784186, mse = 29.778632591748647, prev_mse = 42.81760311240915, mse_inc = False, iteration 6
INFO:m = 5.909580714371346, b = 1.0545240221100103, mse = 23.901539464898015, prev_mse = 29.778632591748647, mse_inc = False, iteration 7
INFO:m = 5.987394723143431, b = 1.0896030098893041, mse = 21.218482963476013, prev_mse = 23.901539464898015, mse_inc = False, iteration 8
INFO:m = 6.038241050436291, b = 1.120677852615722, mse = 19.960096643982112, prev_mse = 21.218482963476013, mse_inc = False, iteration 9
INFO:m = 6.071082256079296, b = 1.1490563506475648, mse = 19.337371449735976, prev_mse = 19.960096643982112, mse_inc = False, iteration 10
INFO:m = 6.091903322506875, b = 1.1756118890852487, mse = 18.998465413187756, prev_mse = 19.337371449735976, mse_inc = False, iteration 11
INFO:m = 6.104700874233468, b = 1.2009277602814898, mse = 18.786480852561017, prev_mse = 18.998465413187756, mse_inc = False, iteration 12
INFO:m = 6.1121437559492255, b = 1.225393539106789, mse = 18.631450869517263, prev_mse = 18.786480852561017, mse_inc = False, iteration 13
INFO:m = 6.116014151434002, b = 1.2492694401436908, mse = 18.502173294866946, prev_mse = 18.631450869517263, mse_inc = False, iteration 14
INFO:m = 6.117502152659076, b = 1.272729293946827, mse = 18.384732181346607, prev_mse = 18.502173294866946, mse_inc = False, iteration 15
INFO:m = 6.11740246628266, b = 1.2958892456050652, mse = 18.272919973729245, prev_mse = 18.384732181346607, mse_inc = False, iteration 16
INFO:m = 6.116245769739671, b = 1.3188269189841992, mse = 18.163966503149076, prev_mse = 18.272919973729245, mse_inc = False, iteration 17
INFO:m = 6.114386427828155, b = 1.3415942141696, mse = 18.05663443355818, prev_mse = 18.163966503149076, mse_inc = False, iteration 18
INFO:m = 6.112061067835448, b = 1.3642258533057015, mse = 17.95036997126859, prev_mse = 18.05663443355818, mse_inc = False, iteration 19
INFO:m = 6.109427694665007, b = 1.3867450873123262, mse = 17.844924143987154, prev_mse = 17.95036997126859, mse_inc = False, iteration 20
INFO:m = 6.106591811021628, b = 1.4091675066996234, mse = 17.740183919132242, prev_mse = 17.844924143987154, mse_inc = False, iteration 21
INFO:m = 6.103623859872481, b = 1.4315035863435097, mse = 17.636096894991415, prev_mse = 17.740183919132242, mse_inc = False, iteration 22
INFO:m = 6.100570872122772, b = 1.4537603848289418, mse = 17.532637718463818, prev_mse = 17.636096894991415, mse_inc = False, iteration 23
INFO:m = 6.097464244666553, b = 1.475942679232963, mse = 17.42979310978193, prev_mse = 17.532637718463818, mse_inc = False, iteration 24
INFO:m = 6.094324934390725, b = 1.4980537229073654, mse = 17.3275551845737, prev_mse = 17.42979310978193, mse_inc = False, iteration 25
